	lu1	word_1	senseDescription_1	relation	lu2	word_2	senseDescription_2
1	25921	consequence	result of	hypernym	25365	significance	characterization of whether an event occurs randomly
2	26100	contact	the state of having no separation (between two or more surfaces).	hypernym	24734	conjunction	an instance of two or more events occurring at the same point in time or space.
5	12577	copy	a thing made to be similar or identical to another. 	hyponym	12581	photocopy	a photographic copy of something produced by a process involving the action of light on a specially prepared surface. 
6	12577	copy	a thing made to be similar or identical to another. 	hyponym	22010	modification	 the action of modifying.
9	12581	photocopy	a photographic copy of something produced by a process involving the action of light on a specially prepared surface. 	hypernym	12577	copy	a thing made to be similar or identical to another. 
11	12720	stroke	 move one' s hand with gentle pressure over (a surface).	hyponym	12728	caress	a gentle or loving touch.
12	20659	drag	an act of inhaling smoke from a cigarette. 	hyponym	20660	toke	a pull on a cigarette or pipe, typically one containing cannabis. 
15	12728	caress	a gentle or loving touch.	hypernym	12720	stroke	 move one' s hand with gentle pressure over (a surface).
17	21586	conduct	the manner in which a person behaves	hypernym	17687	activity	an action taken in pursuit of an objective
18	12758	position	a way in which someone or something is placed or arranged.	hypernym	17442	point	a particular spot or location. 
20	12762	awareness	awareness is a derivative of aware	hypernym	12785	consciousness	one' s awareness or perception of something.
21	12765	comprehension	the action or capability of understanding.	hypernym	23108	involvement	the state of participating in an event with multiple participants
23	12779	suspicion	a feeling that something is possible or probable or that someone is guilty of a crime or offence.	hypernym	23710	belief	an acceptance that something exists or is true, especially one without proof.
27	21816	agreement	a contract by which one party conveys land, property, services, etc. to another for a specified time. 	hypernym	13409	statement	a definite or clear expression of something in speech or writing 
28	21816	agreement	a contract by which one party conveys land, property, services, etc. to another for a specified time. 	hyponym	23624	deal	an agreement entered into by two or more parties for their mutual benefit.
29	21816	agreement	a contract by which one party conveys land, property, services, etc. to another for a specified time. 	hyponym	17592	settlement	a place where people establish a community.
31	12785	consciousness	one' s awareness or perception of something.	hyponym	12762	awareness	awareness is a derivative of aware
34	12824	interpretation	explanation; the act or result of interpreting	hypernym	20994	performance	an act of performing a play, concert, or other form of entertainment.
35	16249	class	a category of things having some property in common and different from others by type or quality	hyponym	26182	sex	an act of physical intimacy that can lead to orgasm.
36	12849	contemplation	the action of contemplating.	hypernym	14540	stare	a fixed look at someone or something with the eyes wide open
39	12867	conclusion	a judgement or decision reached by reasoning	hypernym	25097	judgment	a decision ruled upon by a legal authority
42	22053	argument	a heated exchange of diverging or opposite views.	hypernym	12913	evidence	 information indicating whether a belief or proposition is true or valid. 
43	22053	argument	a heated exchange of diverging or opposite views.	hyponym	12918	proof	evidence establishing a fact or the truth of a statement.
44	22053	argument	a heated exchange of diverging or opposite views.	hyponym	21609	case	a situation which is under investigation by legal authorities to determine if a crime has been comitted and a prosecution is appropriate. 
45	22053	argument	a heated exchange of diverging or opposite views.	hyponym	16497	pro	a professional
49	12913	evidence	 information indicating whether a belief or proposition is true or valid. 	hyponym	22053	argument	a heated exchange of diverging or opposite views.
50	12913	evidence	 information indicating whether a belief or proposition is true or valid. 	hypernym	21402	indication	a sign or symptom
51	12918	proof	evidence establishing a fact or the truth of a statement.	hypernym	22053	argument	a heated exchange of diverging or opposite views.
54	25586	demonstration	public display and expression of support of or opposition to an issue.	hyponym	20994	performance	an act of performing a play, concert, or other form of entertainment.
56	12964	appreciation	Perceptive recognition of value, significance or qualities.	hyponym	20850	sense	a feeling that can be vague or explicit. 
57	22415	rap	the sound of a quick, sharp knock or blow	hypernym	13008	reproach	a feeling of disapproval or disappointment. 
61	12969	contempt	the feeling that a person or a thing is worthless or beneath consideration	hyponym	16981	sneer	a contemptuous or mocking smile, remark, or tone (in this frame, only the facial expression.)
62	12972	damnation	condemnation to eternal punishment in hell	hypernym	17930	denouncement	the public declaration of something or someone as wrong.
63	12975	disapproval	the act or state of disapproving	hyponym	17936	disparagement	the action of representing something as low quality.
64	12975	disapproval	the act or state of disapproving	antonym	21727	approval	 the action of approving of something.
65	23692	esteem	level of respect 	hyponym	24623	stature	importance or reputation gained by ability or achievement.
67	12984	fault	an unattractive or unsatisfactory feature	hyponym	20762	blister	a small bubble on the skin filled with serum and typically caused by friction or burning or a similar swelling, filled with air or fluid, on a surface. 
69	12991	stigma	a mark of disgrace associated with a particular circumstance, quality, or person.	hypernym	20757	blemish	a small mark or flaw which spoils the appearance of something. 
70	12993	stricture	 a sternly critical remark	hypernym	17923	criticism	the expression of disapproval of someone or something based on perceived faults or mistakes.
75	13008	reproach	a feeling of disapproval or disappointment. 	hyponym	22415	rap	the sound of a quick, sharp knock or blow
76	20850	sense	a feeling that can be vague or explicit. 	hypernym	12964	appreciation	Perceptive recognition of value, significance or qualities.
78	13081	analysis	a detailed examination of the elements or structure of something.	hypernym	21606	investigation	a systematic search or inquiry into an incident
79	21606	investigation	a systematic search or inquiry into an incident	hyponym	23356	examination	a detailed inspection or investigation.
80	21606	investigation	a systematic search or inquiry into an incident	hypernym	24667	work	activity involving mental or physical effort done in order to achieve a result.
81	21606	investigation	a systematic search or inquiry into an incident	hyponym	13081	analysis	a detailed examination of the elements or structure of something.
82	21606	investigation	a systematic search or inquiry into an incident	hyponym	21601	inquiry	an official investigation.
83	23356	examination	a detailed inspection or investigation.	hyponym	13112	once-over	a rapid inspection, search, or piece of work.
84	23356	examination	a detailed inspection or investigation.	hypernym	21606	investigation	a systematic search or inquiry into an incident
85	13090	search	an act of searching. 	hypernym	17687	activity	an action taken in pursuit of an objective
87	13112	once-over	a rapid inspection, search, or piece of work.	hypernym	23356	examination	a detailed inspection or investigation.
89	13120	monitoring	the act of observing and checking over a period of time.	hypernym	14528	observation	the action or process of closely observing or monitoring
92	13161	oath	a solemn promise, often invoking a divine witness, as to the truth of something or as a commitment to future action	hypernym	13174	commitment	a pledge or undertaking.
94	13162	pledge	a solemn promise or undertaking	hypernym	16155	member	a man' s penis
95	24447	threat	the possibility of trouble or danger.	hypernym	25956	warning	a message that informs someone of a potential danger.
